Date,Body Weight (kg),Exercise Intensity,Goal Area
2024-03-01,76.4,4,Muscle Gain
2024-03-03,69.9,5,Muscle Gain
2024-03-05,71.1,2,Weight Loss
2024-03-07,74.8,1,Weight Loss
2024-03-09,70.9,1,Weight Loss
2024-03-11,73.3,5,Weight Loss
2024-03-13,72.2,4,Muscle Gain
2024-03-15,78.1,1,Muscle Gain
2024-03-17,76.2,3,Muscle Gain
2024-03-19,75.5,1,Muscle Gain
2024-03-21,75.7,3,Weight Loss
2024-03-23,74.6,4,Weight Loss
2024-03-25,77.7,1,Muscle Gain
2024-03-27,69.1,5,Muscle Gain
2024-03-29,70.3,1,Weight Loss
