id,vtype,domain,n,title,xtitle,ytitle,y1,y2,trunc1,truncrem,dualline,dual2
BD1,B,D,1,Reported Disease Cases at Lakeshore Clinic,Disease,Reported Cases,0,2000,500,0,,
BD2,B,D,2,Hospitalization Rate by Age Group at Mapleton Clinic,Age Group,Hospitalization Rate,0,25,5,0,,
BD3,B,D,3,Administered Vaccine Doses by Clinic in Springdale,Clinic,Doses,0,8000,4000,0,,
BD4,B,D,4,Allergy Prevalence by City,City,Allergy Prevalence (%),0,30,15,0,,
BD5,B,D,5,Total Springdale Flu Cases in 2023 vs. 2024,Year,Flu Cases,0,3000,1500,0,,
BE1,B,E,1,Springdale Mayoral Election Results,Candidate,Total Votes,0,5000,3000,2,,
BE2,B,E,2,Issue Polling for Springdale Residents,Issue,Count,0,40,15,2,,
BE3,B,E,3,Mayoral Race Spending by Candidate,Candidate,Campaign Spending,0,5000000,4000000,2,,
BE4,B,E,4,Voter Turnout by Age Group,Age Group,Turnout (%),0,100,40,0,,
BE5,B,E,5,Number of Mail-In vs. In-Person Votes,Candidate,Votes,0,3000,1500,0,,
BH1,B,H,1,Average Steps per Week by Age,Age Group,Weekly Steps,0,10000,3000,0,,
BH2,B,H,2,Average Blood Pressure Comparison,Patient,Blood Pressure,0,125,75,0,,
BH3,B,H,3,Patients Admitted to Northside Clinic by Reason,Reason,Count,0,60,25,0,,
BH4,B,H,4,Adherence Rate by Condition,Condition,Adherence Rate (%),0,100,50,0,,
BH5,B,H,5,Average Sleep Duration by Age Group,Age Group,Average Hours Slept,0,10,6,0,,
BS1,B,S,1,Average Daily Minutes per Platform,Platform,Daily Minutes,0,125,45,0,,
BS2,B,S,2,Top 100 Viral Videos by Content Type,Content Type,Number Viral,0,50,20,2,,
BS3,B,S,3,Earnings per Post by Platform for @MiaTechGuru,Platform,Earnings per Post,0,500,300,0,,
BS4,B,S,4,Average Number of Posts by Time of Day,Time of Day,Posts Made,0,40,20,1,,
BS5,B,S,5,Engagement Rate by Post Type,Post Type,Engagement Rate (%),0,80,20,0,,
BW1,B,W,1,Average Monthly Rainfall in Springview,Month,Rainfall (inches),0,5,2.5,0,,
