Date,Followers,Engagement Rate (%)
11/1,130,1.68
11/2,240,5.06
11/3,376,5.16
11/4,429,2.06
11/5,573,1.77
11/6,646,3.97
11/7,757,4.19
11/8,822,1.99
11/9,940,4.72
11/10,990,3.64
11/11,1130,4.11
11/12,1198,3.7
11/13,1260,2.33
11/14,1346,2.31
11/15,1445,2.09
11/16,1543,4.09
11/17,1644,4.13
11/18,1789,4.21
11/19,1864,1.91
11/20,2004,4.04
11/21,2145,5.32
11/22,2244,4.51
11/23,2294,3.12
11/24,2377,5.44
11/25,2522,4.79
11/26,2607,3.62
11/27,2659,2.18
11/28,2730,5.09
11/29,2873,2.43
11/30,2999,2.42
